TransferId,BudgetLevel,DocType,BFY,RpioCode,FundCode,FundName,DocumentNumber,ProcessedDate,AhCode,AhName,OrgCode,OrgName,RcCode,DivisionName,AccountCode,ProgramAreaCode,ProgramAreaName,ProgramProjectName,ProgramProjectCode,FromTo,BocCode,BocName,Amount,Purpose
11,7,CRP,2019,06,B,EPM,CRP 06-2020-1920B-PAYROLL_CLEANUP,5/14/2020 16:21,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,E52,ENF,ENFORCEMENT,CRIMINAL ENFORCEMENT,52,TO,10,PAYROLL,374.91,"EPM CARRYOVER PAYROLL CLEANUP THE PURPOSE OF THIS REPROGRAMMING IS TO SHIFT FUNDS AROUND TO ACCURATELY REFLECT R6 PAYROLL NEEDS DURING FISCAL YEAR 2019. THERE IS NO NEGATIVE IMPACT TO THE LOSING PROGRAM PROJECTS AS THOSE PROGRAM'S TARGETED WORKLOADS/GOALS WERE MET. RESOURCES ARE NEEDED IN THE GAINING PROGRAM PROJECTS IN ORDER FOR THOSE PROGRAMS TO MEET THEIR COMMITMENTS. BUDGET POC: HEATHER CHANDLER, 214-665-8032"
12,7,CRP,2019,06,B,EPM,CRP 06-2020-1920B-PAYROLL_CLEANUP,5/14/2020 16:21,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,GF2,O+A,OPERATIONS AND ADMINISTRATION,FACILITIES INFRA. & OPERATIONS,F2,FROM,10,PAYROLL,3035.92,"EPM CARRYOVER PAYROLL CLEANUP THE PURPOSE OF THIS REPROGRAMMING IS TO SHIFT FUNDS AROUND TO ACCURATELY REFLECT R6 PAYROLL NEEDS DURING FISCAL YEAR 2019. THERE IS NO NEGATIVE IMPACT TO THE LOSING PROGRAM PROJECTS AS THOSE PROGRAM'S TARGETED WORKLOADS/GOALS WERE MET. RESOURCES ARE NEEDED IN THE GAINING PROGRAM PROJECTS IN ORDER FOR THOSE PROGRAMS TO MEET THEIR COMMITMENTS. BUDGET POC: HEATHER CHANDLER, 214-665-8032"
13,7,CRP,2019,06,B,EPM,CRP 06-2020-1920B-PAYROLL_CLEANUP,5/14/2020 16:21,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,HF8,ITDMS,IT / DATA MANAGEMENT / SECURITY,IT/DATA MANAGEMENT,F8,TO,10,PAYROLL,288.16,"EPM CARRYOVER PAYROLL CLEANUP THE PURPOSE OF THIS REPROGRAMMING IS TO SHIFT FUNDS AROUND TO ACCURATELY REFLECT R6 PAYROLL NEEDS DURING FISCAL YEAR 2019. THERE IS NO NEGATIVE IMPACT TO THE LOSING PROGRAM PROJECTS AS THOSE PROGRAM'S TARGETED WORKLOADS/GOALS WERE MET. RESOURCES ARE NEEDED IN THE GAINING PROGRAM PROJECTS IN ORDER FOR THOSE PROGRAMS TO MEET THEIR COMMITMENTS. BUDGET POC: HEATHER CHANDLER, 214-665-8032"
14,7,CRP,2019,06,B,EPM,CRP 06-2020-1920B-PAYROLL_CLEANUP,5/14/2020 16:21,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,LD9,IEO,INFORMATION EXCHANGE / OUTREACH,CAPACITY BUILDING,D9,FROM,10,PAYROLL,0.1,"EPM CARRYOVER PAYROLL CLEANUP THE PURPOSE OF THIS REPROGRAMMING IS TO SHIFT FUNDS AROUND TO ACCURATELY REFLECT R6 PAYROLL NEEDS DURING FISCAL YEAR 2019. THERE IS NO NEGATIVE IMPACT TO THE LOSING PROGRAM PROJECTS AS THOSE PROGRAM'S TARGETED WORKLOADS/GOALS WERE MET. RESOURCES ARE NEEDED IN THE GAINING PROGRAM PROJECTS IN ORDER FOR THOSE PROGRAMS TO MEET THEIR COMMITMENTS. BUDGET POC: HEATHER CHANDLER, 214-665-8032"
15,7,CRP,2019,06,B,EPM,CRP 06-2020-1920B-PAYROLL_CLEANUP,5/14/2020 16:21,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,M57,ENF,ENFORCEMENT,ENVIRONMENTAL JUSTICE,57,FROM,10,PAYROLL,0.11,"EPM CARRYOVER PAYROLL CLEANUP THE PURPOSE OF THIS REPROGRAMMING IS TO SHIFT FUNDS AROUND TO ACCURATELY REFLECT R6 PAYROLL NEEDS DURING FISCAL YEAR 2019. THERE IS NO NEGATIVE IMPACT TO THE LOSING PROGRAM PROJECTS AS THOSE PROGRAM'S TARGETED WORKLOADS/GOALS WERE MET. RESOURCES ARE NEEDED IN THE GAINING PROGRAM PROJECTS IN ORDER FOR THOSE PROGRAMS TO MEET THEIR COMMITMENTS. BUDGET POC: HEATHER CHANDLER, 214-665-8032"
16,7,CRP,2019,06,B,EPM,CRP 06-2020-1920B-PAYROLL_CLEANUP,5/14/2020 16:21,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,ME7,LSRE,LEGAL / SCIENCE / REGULATORY / ECONOMIC REVIEW,CIVIL RIGHTS/TITLE 9 COMPL.,E7,TO,10,PAYROLL,125.54,"EPM CARRYOVER PAYROLL CLEANUP THE PURPOSE OF THIS REPROGRAMMING IS TO SHIFT FUNDS AROUND TO ACCURATELY REFLECT R6 PAYROLL NEEDS DURING FISCAL YEAR 2019. THERE IS NO NEGATIVE IMPACT TO THE LOSING PROGRAM PROJECTS AS THOSE PROGRAM'S TARGETED WORKLOADS/GOALS WERE MET. RESOURCES ARE NEEDED IN THE GAINING PROGRAM PROJECTS IN ORDER FOR THOSE PROGRAMS TO MEET THEIR COMMITMENTS. BUDGET POC: HEATHER CHANDLER, 214-665-8032"
17,7,CRP,2019,06,B,EPM,CRP 06-2020-1920B-PAYROLL_CLEANUP,5/14/2020 16:21,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,ME9,IEO,INFORMATION EXCHANGE / OUTREACH,ENVIRONMENTAL EDUCATION,E9,TO,10,PAYROLL,0.03,"EPM CARRYOVER PAYROLL CLEANUP THE PURPOSE OF THIS REPROGRAMMING IS TO SHIFT FUNDS AROUND TO ACCURATELY REFLECT R6 PAYROLL NEEDS DURING FISCAL YEAR 2019. THERE IS NO NEGATIVE IMPACT TO THE LOSING PROGRAM PROJECTS AS THOSE PROGRAM'S TARGETED WORKLOADS/GOALS WERE MET. RESOURCES ARE NEEDED IN THE GAINING PROGRAM PROJECTS IN ORDER FOR THOSE PROGRAMS TO MEET THEIR COMMITMENTS. BUDGET POC: HEATHER CHANDLER, 214-665-8032"
18,7,CRP,2019,06,B,EPM,CRP 06-2020-1920B-PAYROLL_CLEANUP,5/14/2020 16:21,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,MH3,IEO,INFORMATION EXCHANGE / OUTREACH,CHILDREN AND OTHER SENSITIVE POPULATIONS: AGENCY COORDINATIO,H3,TO,10,PAYROLL,0.1,"EPM CARRYOVER PAYROLL CLEANUP THE PURPOSE OF THIS REPROGRAMMING IS TO SHIFT FUNDS AROUND TO ACCURATELY REFLECT R6 PAYROLL NEEDS DURING FISCAL YEAR 2019. THERE IS NO NEGATIVE IMPACT TO THE LOSING PROGRAM PROJECTS AS THOSE PROGRAM'S TARGETED WORKLOADS/GOALS WERE MET. RESOURCES ARE NEEDED IN THE GAINING PROGRAM PROJECTS IN ORDER FOR THOSE PROGRAMS TO MEET THEIR COMMITMENTS. BUDGET POC: HEATHER CHANDLER, 214-665-8032"
19,7,CRP,2019,06,B,EPM,CRP 06-2020-1920B-PAYROLL_CLEANUP,5/14/2020 16:21,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,NG1,LSRE,LEGAL / SCIENCE / REGULATORY / ECONOMIC REVIEW,LEGAL ADVICE: SUPPORT PROGRAM,G1,FROM,10,PAYROLL,125.54,"EPM CARRYOVER PAYROLL CLEANUP THE PURPOSE OF THIS REPROGRAMMING IS TO SHIFT FUNDS AROUND TO ACCURATELY REFLECT R6 PAYROLL NEEDS DURING FISCAL YEAR 2019. THERE IS NO NEGATIVE IMPACT TO THE LOSING PROGRAM PROJECTS AS THOSE PROGRAM'S TARGETED WORKLOADS/GOALS WERE MET. RESOURCES ARE NEEDED IN THE GAINING PROGRAM PROJECTS IN ORDER FOR THOSE PROGRAMS TO MEET THEIR COMMITMENTS. BUDGET POC: HEATHER CHANDLER, 214-665-8032"
20,7,CRP,2019,06,B,EPM,CRP 11-EJ-GRANTS-01,12/10/2019 15:47,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,BE2,WE,WATER:  ECOSYSTEMS,WETLANDS,E2,FROM,41,GRANTS,30000,THIS REPROGRAMMING TRANSFERS FUNDS FROM WETLANDS (E2) TO ENVIRONMENTAL JUSTICE (57) TO SUPPORT THE OFFICE OF ENVIRONMENTAL JUSTICE SMALL GRANT AWARDS. CONTACT: JUANITA STANDIFER 202-566-2764 OR SHARON VAZQUEZ 202-564-1622 THIS REPROGRAMMING TRANSFERS FUNDS FROM WETLANDS (E2) TO ENVIRONMENTAL JUSTICE (57) TO SUPPORT THE OFFICE OF ENVIRONMENTAL JUSTICE SMALL GRANT AWARDS. CONTACT: JUANITA STANDIFER 202-566-2764 OR SHARON VAZQUEZ 202-564-1622
21,7,CRP,2019,06,B,EPM,CRP 2020-OA-COPAY-EMO-1,3/26/2020 18:34,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,E50,COM,COMPLIANCE,COMPLIANCE MONITORING,50,FROM,10,PAYROLL,322739,OA EMO BASE PAY NEEDS THIS REPROGRAMMING MOVES CARRYOVER PAYROLL TO OA FOR BASE PAY NEEDS FOR EMO. POC BETH BADEN 202-564-7628
22,7,CRP,2019,06,B,EPM,CRP 2020-OA-COPAY-EMO-2,3/30/2020 16:38,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,CJ3,PL,PESTICIDES LICENSING,PEST: VALUE OF AVAIL PEST,J3,FROM,10,PAYROLL,13600,OA EMO BASE PAY NEEDS THIS REPROGRAMMING MOVES CARRYOVER PAYROLL TO OA FOR BASE PAY NEEDS FOR EMO. POC BETH BADEN 202-564-7628
23,7,CRP,2019,06,B,EPM,CRP 2020-OA-COPAY-EMO-3,3/30/2020 16:38,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,CD7,TRRP,TOXICS RISK REVIEW AND PREVENTION,TOX SUBS:LEAD RISK RED PROG,D7,FROM,10,PAYROLL,22199,OA EMO BASE PAY NEEDS THIS REPROGRAMMING MOVES CARRYOVER PAYROLL TO OA FOR BASE PAY NEEDS IN EMO. POC BETH BADEN 202-564-7628
24,7,CRP,2019,06,B,EPM,CRP 2020-OA-COPAY-EMO-4,3/30/2020 16:38,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,BE2,WE,WATER:  ECOSYSTEMS,WETLANDS,E2,FROM,10,PAYROLL,82721,OA EMO BASE PAY NEEDS THIS REPROGRAMMING MOVES CARRYOVER PAYROLL FUNDS INTO OA FOR BASE PAY NEEDS IN EMO. POC BETH BADEN 202-564-7628
25,7,CRP,2019,06,B,EPM,CRP 2020-OA-COPAY-EPM-1,3/6/2020 17:41,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,DC3,IEO,INFORMATION EXCHANGE / OUTREACH,STATE AND LOCAL PREVENTION AND PREPAREDNESS,C3,FROM,10,PAYROLL,65701.6,THIS REPROGRAMMING ISSUES CARRYOVER PAYROLL FUNDS TO OA FOR BASE PROGRAM NEEDS FOR EXECUTIVE MANAGEMENT AND OPERATIONS AND SMALL MINORITY BUSINESS ASSISTANCE. POC BETH BADEN 202-564-7628 AND LANCE MCCLUNEY 202-564-2944 THIS REPROGRAMMING ISSUES CARRYOVER PAYROLL FUNDS TO OA FOR BASE PROGRAM NEEDS FOR EXECUTIVE MANAGEMENT AND OPERATIONS AND SMALL MINORITY BUSINESS ASSISTANCE. POC BETH BADEN 202-564-7628 LANCE MCCLUNEY 202-564-2944
26,7,CRP,2019,06,B,EPM,CRP 2020-OA-COPAY-EPM-1,3/6/2020 17:41,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,ME8,IEO,INFORMATION EXCHANGE / OUTREACH,"CONGRESS., INTERGOV'T, EX. REL",E8,FROM,10,PAYROLL,42013.98,THIS REPROGRAMMING ISSUES CARRYOVER PAYROLL FUNDS TO OA FOR BASE PROGRAM NEEDS FOR EXECUTIVE MANAGEMENT AND OPERATIONS AND SMALL MINORITY BUSINESS ASSISTANCE. POC BETH BADEN 202-564-7628 AND LANCE MCCLUNEY 202-564-2944 THIS REPROGRAMMING ISSUES CARRYOVER PAYROLL FUNDS TO OA FOR BASE PROGRAM NEEDS FOR EXECUTIVE MANAGEMENT AND OPERATIONS AND SMALL MINORITY BUSINESS ASSISTANCE. POC BETH BADEN 202-564-7628 LANCE MCCLUNEY 202-564-2944
27,7,CRP,2019,06,B,EPM,CRP 2020-OA-COPAY-EPM-10,3/25/2020 18:54,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,M57,ENF,ENFORCEMENT,ENVIRONMENTAL JUSTICE,57,FROM,10,PAYROLL,10066,OA BASE PROGRAM NEEDS IN LSRE THIS REPROGRAMMING MOVES CARRYOVER PAYROLL TO OA FOR BASE PROGRAM NEEDS IN LSRE PROGRAM AREA. POC BETH BADEN 20-564-7628
28,7,CRP,2019,06,B,EPM,CRP 2020-OA-COPAY-EPM-10,3/25/2020 18:54,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,ME9,IEO,INFORMATION EXCHANGE / OUTREACH,ENVIRONMENTAL EDUCATION,E9,FROM,10,PAYROLL,3920,OA BASE PROGRAM NEEDS IN LSRE THIS REPROGRAMMING MOVES CARRYOVER PAYROLL TO OA FOR BASE PROGRAM NEEDS IN LSRE PROGRAM AREA. POC BETH BADEN 20-564-7628
29,7,CRP,2019,06,B,EPM,CRP 2020-OA-COPAY-EPM-12,3/25/2020 18:54,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,GF5,O+A,OPERATIONS AND ADMINISTRATION,HUMAN RESOURCES MANAGEMENT,F5,FROM,10,PAYROLL,11228,OA BASE PROGRAM NEEDS IN LSRE THIS REPROGRAMMING MOVES CARRYOVER PAYROLL TO OA TO SUPPORT BASE PROGRAM NEEDS IN THE LSRE PROGRAM AREA. POC BETH BADEN 202-564-7628
30,7,CRP,2019,06,B,EPM,CRP 2020-OA-COPAY-EPM-14,3/26/2020 18:34,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,B89,WE,WATER:  ECOSYSTEMS,NATIONAL ESTUARY PROGRAM / COASTAL WATERWAYS,89,FROM,10,PAYROLL,32091,OA BASE PROGRAM NEEDS IN LSRE PROGRAM AREA THIS REPROGRAMMING MOVES CARRYOVER PAYROLL TO OA TO SUPPORT BASE PROGRAM NEEDS IN THE LSRE PROGRAM AREA. POC BETH BADEN 202-564-7628
31,7,CRP,2019,06,B,EPM,CRP 2020-OA-COPAY-EPM-15,3/26/2020 18:34,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,C95,TRRP,TOXICS RISK REVIEW AND PREVENTION,POLLUTION PREVENTION PROGRAM,95,FROM,10,PAYROLL,6254,OA BASE PROGRAM NEEDS IN LSRE THIS REPROGRAMMING MOVES CARRYOVER PAYROLL TO OA TO SUPPORT BASE PROGRAM NEEDS IN LSRE PROGRAM AREA. POC BETH BADEN 202-564-7628
32,7,CRP,2019,06,B,EPM,CRP 2020-OA-COPAY-EPM-15,3/26/2020 18:34,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,M90,ENF,ENFORCEMENT,NEPA IMPLEMENTATION,90,FROM,10,PAYROLL,51495,OA BASE PROGRAM NEEDS IN LSRE THIS REPROGRAMMING MOVES CARRYOVER PAYROLL TO OA TO SUPPORT BASE PROGRAM NEEDS IN LSRE PROGRAM AREA. POC BETH BADEN 202-564-7628
33,7,CRP,2019,06,B,EPM,CRP 2020-OA-COPAY-EPM-16,3/26/2020 18:34,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,DC3,IEO,INFORMATION EXCHANGE / OUTREACH,STATE AND LOCAL PREVENTION AND PREPAREDNESS,C3,FROM,10,PAYROLL,56,OA BASE PROGRAM NEEDS IN LSRE THIS REPROGRAMMING MOVES CARRYOVER PAYROLL TO OA TO SUPPORT BASE PROGRAM NEEDS IN THE LSRE PROGRAM AREA. POC BETH BADEN 202-564-7628
34,7,CRP,2019,06,B,EPM,CRP 2020-OA-COPAY-EPM-16,3/26/2020 18:34,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,LD9,IEO,INFORMATION EXCHANGE / OUTREACH,CAPACITY BUILDING,D9,FROM,10,PAYROLL,637,OA BASE PROGRAM NEEDS IN LSRE THIS REPROGRAMMING MOVES CARRYOVER PAYROLL TO OA TO SUPPORT BASE PROGRAM NEEDS IN THE LSRE PROGRAM AREA. POC BETH BADEN 202-564-7628
35,7,CRP,2019,06,B,EPM,CRP 2020-OA-COPAY-EPM-17,3/26/2020 18:42,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,BD4,WQP,WATER QUALITY PROTECTION,SURFACE WATER PROTECTION,D4,FROM,10,PAYROLL,2242,OA BASE PROGRAM NEEDS IN LSRE THIS REPROGRAMMING MOVES CARRYOVER PAYROLL TO OA FOR BASE PROGRAM NEEDS IN LSRE. POC BETH BADEN 202-564-7628
36,7,CRP,2019,06,B,EPM,CRP 2020-OA-COPAY-EPM-17,3/26/2020 18:42,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,LE1,IP,INTERNATIONAL PROGRAMS,US MEXICO BORDER,E1,FROM,10,PAYROLL,26,OA BASE PROGRAM NEEDS IN LSRE THIS REPROGRAMMING MOVES CARRYOVER PAYROLL TO OA FOR BASE PROGRAM NEEDS IN LSRE. POC BETH BADEN 202-564-7628
37,7,CRP,2019,06,B,EPM,CRP 2020-OA-COPAY-EPM-3,3/13/2020 15:10,06,06 DALLAS,06,06 DALLAS,06,REGION 06 DALLAS,C95,TRRP,TOXICS RISK REVIEW AND PREVENTION,POLLUTION PREVENTION PROGRAM,95,FROM,10,PAYROLL,7036.47,OA BASE PROG NEEDS FOR HOM SEC BASE PROGRAM NEEDS FOR HOMELAND SECURITY: COMM & INFO POC BETH BADEN 202-564-7628
